ID,Keywords,BPM Relevance,BPM Justification,BPM Lifecycle,Discussion
W3C.WEBDEV.13,User Preferences,1,Schwer zu beurteilen,"Modeling, Execution",
W3C.WEBDEV.23,Native Library,1,Eher weniger relevant,"Design, Execution",
W3C.WEBDEV.24,Messaging,3,Obwohl hier mehr aus der Webrichtung argumentiert wird ist die Reduktion von Nachrichten aus der WF Engine an Backenddienste schon relevant,"Modeling, Execution",
W3C.WEBDEV.21,Requirements,3,"Schwierig, können wir Camunda vs. Flowable in Bezug zu nachhaltigkeit beraten/entscheiden?","Design, Modeling, Execution",
W3C.WEBDEV.20,Legacy Code,1,Eher irrelevant,"Modeling, Execution",
W3C.WEBDEV.19,Data Format,1,Eher irrelevant,"Modeling, Execution",
W3C.WEBDEV.22,Programming Language,3,"Zwar ist hier die Sicht aus dem Web relevant, aber die gewählte Programmiersprache ist sehr wohl wichtig für den Gesamtprozess und dessen Energieverbräuche","Modeling, Execution",
W3C.OPS.8,Data Storage,2,Gutes BPM design sollte mit dem minimalsten Daten auskommen,"Design, Modeling",
W3C.OPS.5,Turn-Off,3,Für jedes Softwareprojekt relevant ,-,
W3C.OPS.3,Data Compression,1,Ehere irrelevant für BPM,"Execution, Design",
W3C.OPS.2,Caching,3,"Immer relevant für Nachhaltigkeit, für alle Systeme","Modeling, Execution",
W3C.OPS.1,Provider Selection,3,"Immer relevant für Nachhaltigkeit, für alle Systeme",Execution,
W3C.OPS.6,Automation,3,Jedes gute Softwareprojekt sollte so laufen,-,
W3C.OPS.7,Data Refresh,2,Gutes BPM sollte damit keine Probleme haben,"Modeling, Execution",
W3C.OPS.4,Navigation,1,Eher web relevant,-,
W3C.OPS.11,Infrastructure,3,"Skalierung der Infrastructure auf die nur nötigen Ressourcen ist essential für Nachhaltigkeit, für jedes System","Modeling, Execution",
W3C.OPS.10,Caching,3,"Immer relevant für Nachhaltigkeit, für alle Systeme","Modeling, Execution",
W3C.OPS.9,Asynchronous Communication,3,"Immer relevant für Nachhaltigkeit, für alle Systeme","Modeling, Execution",
W3C.BIZ.1,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.2,Roles,1,Keine relevanz?,-,
W3C.BIZ.3,Guidelines,1,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.OPS.12,Data Storage,2,Gutes BPM design sollte mit dem minimalsten Daten auskommen,"Design, Modeling",
W3C.BIZ.9,ESG,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.6,KPI,3,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.4,UX,1,Keine relevanz?,-,
W3C.BIZ.7,Policies,1,Keine relevanz?,-,
W3C.BIZ.10,Business Models,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.8,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.5,Environmental Impact,1,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.12,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.14,Architecture,3,Relevant für jedes gute Softwareprojekt,-,
W3C.BIZ.15,Architecture,3,Relevant für jedes gute Softwareprojekt,-,
W3C.BIZ.17,Share Economy,1,eher irrevelant,-,
W3C.BIZ.13,Documentation,3,Relevant für jedes gute Softwareprojekt,-,
W3C.BIZ.16,Supplier Standard of Practice,1,eher irrevelant,-,
W3C.BIZ.11,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.19,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.24,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.23,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.20,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.18,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.21,Data Storage,3,Je nach BPM Verwendung ist die Analyse schwierig da die Daten evtl. erst in der Zukunft relevant sind.,Analyse,
W3C.BIZ.22,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.29,Resiliance,3,"Resilienz in Prozesse ist allgemein wichtig, aber was das mit Nachhaltigkeit im Sinne Environment zu tun hat ist mir schleierhaft","Modeling, Execution",
W3C.BIZ.25,End-of-Life,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
W3C.BIZ.27,Budgeting,3,Relevant für jedes gute Softwareprojekt,-,
W3C.BIZ.28,Open-Source,1,Irrelevant,-,
W3C.BIZ.26,Policies,2,Hat Impact auf die zu entwickelnden Prozesse,"Design, Analyse",
