ID,Keywords,BPM Relevance,BPM Justification,BPM Lifecycle,Discussion
MA.TESTING.5,"Concurrency, Continuous Integration, Continuous Deployment",1,Allgemein wichtig im Entwicklungskontext,-,
MA.TESTING.6,Chaos Engineering,1,Allgemein wichtig im Entwicklungskontext,-,
MA.TESTING.7,"CPU Treshold, Memory Threshold",1,Allgemein wichtig im Entwicklungskontext,-,
MA.OPS.1,Dashboard,1,Sehr Azure spezifisch,-,
MA.OPS.2,"SCI, Emission Targets",1,Allgemein wichtig im Entwicklungskontext,-,
MA.OPS.3,"Metrics, Goals",1,Allgemein wichtig im Entwicklungskontext,-,
MA.OPS.4,"SCI, KPI, Cost Optimization",1,Allgemein wichtig im Entwicklungskontext,-,
MA.OPS.5,Policies,1,Sehr Azure spezifisch,-,
MA.OPS.6,Community,1,Allgemein wichtig,-,
MA.OPS.7,Training,1,Allgemein wichtig,-,
MA.OPS.8,Best practices,1,Allgemein wichtig,-,
MA.OPS.9,"Policies, KPI",1,Allgemein wichtig,-,
MA.NETWORK.1,"CDN, Network Traffic, Static Data",1,Allgemein wichtig,-,
MA.NETWORK.2,Caching,1,Allgemein wichtig,-,
MA.NETWORK.3,Regions,1,Allgemein wichtig,-,
MA.NETWORK.4,Data Compression,1,Allgemein wichtig,-,
MA.NETWORK.5,Network Compression,1,Allgemein wichtig,-,
MA.NETWORK.6,Network Utilization,1,Allgemein wichtig,-,
MA.STORAGE.1,Data Compression,1,Allgemein wichtig,-,
MA.STORAGE.2,Query Optimization,1,Allgemein wichtig,-,
MA.STORAGE.3,Storage Types,1,Allgemein wichtig,-,
MA.STORAGE.4,Data Policies,1,Allgemein wichtig,-,
MA.STORAGE.5,Data Policies,1,Allgemein wichtig,-,
MA.STORAGE.6,Backup Policies,1,Allgemein wichtig,-,
MA.STORAGE.7,Backup Policies,1,Allgemein wichtig,-,
MA.STORAGE.8,Log Policies,1,Allgemein wichtig,-,
MA.SECURITY.1,"Logging, Cloud Native",1,Allgemein wichtig,-,
MA.SECURITY.2,Data Transfer,1,Allgemein wichtig,-,
MA.SECURITY.3,Data Filter,1,Allgemein wichtig,-,
MA.SECURITY.4,Data Storage,1,Allgemein wichtig,-,
MA.SECURITY.5,Network Security,1,Allgemein wichtig,-,
MA.SECURITY.6,Routing,1,Allgemein wichtig,-,
MA.SECURITY.7,Scaling,1,Allgemein wichtig,-,
MA.SECURITY.8,TLS,1,Allgemein wichtig,-,
MA.SECURITY.9,DDoS Protection,1,Allgemein wichtig,-,
MA.SECURITY.10,Endpoint Protection,1,"Allgemein wichtig, sehr Azure spezifisch",-,
MA.SECURITY.11,Tagging,1,Allgemein wichtig,-,
