ID,Keywords,BPM Relevance,BPM Justification,BPM Lifecycle,Discussion
GSF.C.20,"Scaling, Turning off, Office Hours",5,Wenn ich Prozesse habe die viele User Tasks haben und diese praktisch nur in den Office Stunden genutzt werden lohnt es sich diese zu suspendieren ggf. Teile von Camunda herunter zufahren,"Execution, Design, Monitoring",
GSF.C.21,"Turning off, Scaling",5,"Selbe wie mit Kubernetes, was ich nicht brauche, schalte ich ab","Execution, Design, Monitoring",
GSF.C.22,"Workload, Turning off, Scaling",5,"Es sollte im Klaren sein welche Workloads auf meinen Systemen vorgehen, so dasss ich dem entsprechend Skalieren kann und ggf. ungenutzt Ressourcen ausschalte","Execution, Design, Monitoring",
GSF.C.23,"Scaling, KEDA",5,"Absolut wertvoll, jedoch je nach Use Case nicht einfach","Execution, Design, Monitoring",
GSF.C.24,Security,0,"Wichtig ist das alle mal, aber out-of-scope","Monitoring, Execution",
GSF.C.25,Data Retention,2,"Ist eher ein Problem von aussen, aber evtl. Historische Prozessdaten löschen","Modeling, Design",
GSF.C.26,"Queue, Batch processing, Priorisation",5,Man könnte weniger relevante Requests erstmal vorhalten in einer Queue und dann in einem Batchprozess abarbeiten,"Modeling, Execution, Monitoring",
GSF.C.27,"Time Shifting, Batching",5,Batching erlaubt es weniger Prozessinstanzen zu haben,"Modeling, Execution",
GSF.C.28,Asynchronous Communication,3,"Schwer einzuschätzen, das so was eher im Hintergrund implementiert sein wird, und man nicht unbedingt sein Prozessmodell mit Message Tasks „zumüllen“ will","Modeling, Execution",
GSF.C.29,Circuit Breaker,5,"Sehr wichtig aus der allgemeinen Architektursicht, aber was bedeutet dass für die Prozesse?","Modeling, Execution",
GSF.C.30,Cloud-Native Security Tools,1,Schwer einzuschätzen,Execution,
GSF.C.31,"Serverless, Scaling",5,"Worker, Connectoren sollten nur dann laufen wenn sie auch wirklich benötigt werden","Execution,  Modeling",
GSF.WEB.1,Request size,2,Je nach implementierung für UIs innerhalb eines BPM systems relevanter,"Execution, Modeling",
GSF.WEB.2,Page size,2,Je nach implementierung für UIs innerhalb eines BPM systems relevanter,Modeling,
GSF.WEB.3,User Tracking,2,"Eher weniger, je nach Projekt vielleicht mehr Relevanz",Modeling,
GSF.WEB.4,Data size,2,"Eher weniger, je nach Projekt vielleicht mehr Relevanz",Execution,
GSF.WEB.5,"Data size, Data format",2,"Eher weniger, je nach Projekt vielleicht mehr Relevanz",Execution,
GSF.WEB.6,"Data size, Data format, Data encoding, Data Compression",2,"Eher weniger, je nach Projekt vielleicht mehr Relevanz",Execution,
GSF.WEB.7,Request count,2,"Eher weniger, je nach Projekt vielleicht mehr Relevanz",Modeling,
GSF.WEB.8,Data size,2,"Eher weniger, sollte aber grundlegend gemacht werden",Execution,
GSF.WEB.9,Threading,3,"Eher weniger, aber allgemein eher dinge zum worker verlagern als in die UI für User Tasks ?",Execution,
GSF.WEB.10,Data size,2,"Eher weniger, sollte aber grundlegend gemacht werden",Execution,
GSF.WEB.11,Data size,2,"Eher weniger, sollte aber grundlegend gemacht werden",Execution,
GSF.WEB.12,Data size,2,"Eher weniger, sollte aber grundlegend gemacht werden",Execution,
GSF.WEB.13,Data size,2,"Eher weniger, sollte aber grundlegend gemacht werden",Modeling,
